Area,headline,summary
,N/A,N/A
कानपुर,कानपुर में अपना दल विधायक की कार से एक्सीडेंट," युवक की 40 फीट ऊंचे पुल से गिरकर मौत; गाड़ी के अंदर शराब-सिगरेट मिलीं
0:51"
कानपुर,कानपुर में कारोबारी के बेटे का सुसाइड दिखाने का नाटक," गंगा बैराज किनारे बाइक, मोबाइल और चप्पल छोड़ा, CCTV से खुली सच्चाई
0:28"
कानपुर,कानपुर चिड़ियाघर में मॉर्निंग वॉक सुविधा बंद," 20 साल से चल रही थी सुविधा, नियमित टहलने वाले निराश; जताई आपत्ति
0:11"
कानपुर,किशोर से साथ कुकर्म करने वाले दो आरोपी गिरफ्तार," टेनरी संचालक ने तीन किशोरों का किया था शोषण, पैसों और नॉनवेज का लालच देकर बरगलाता था
0:45"
कानपुर,कानपुर में ससुराल में विवाहिता की मौत," मायके से आए परिजन बोले- ससुरालियों ने 10 लाख रुपए और बाइक न देने पर खिलाया जहर
0:18"
कानपुर,लायर्स चुनाव," 20 पदों पर 74 प्रत्याशी मैदान में: एक भी प्रत्याशी ने नाम वापस नहीं लिया, पुलिस कमिश्नर को सौंपा प्रत्याशियों का ब्योरा
0:22"
कानपुर,तीन किराएदारों के कमरों का ताला तोड़ 9लाख की चोरी," विधानसभा अध्यक्ष के घर से 200 मीटर की दूरी पर वारदात को दिया अंजाम
0:13"
कानपुर,प्रजापति महासभा मासूम पीड़िता से मिलने पहुंचे, कानपुर के हैलेट अस्पताल में बांदा की पीड़िता के परिजनों से मुलाकात की
कानपुर,कानपुर में मनाया गया 44वां तुलसी जयंती समारोह," उप मुख्यमंत्री बृजेश पाठक ने कहा- तुलसीदास ने रामचरितमानस को घर-घर पहुंचाया
0:15"
कानपुर,अमेरिका द्वारा भारत पर टैरिफ लगाने की घोषणा," कानपुर में कांग्रेस का विरोध प्रदर्शन, मोदी सरकार से जवाबी कार्रवाई की मांग
0:21"
कानपुर,कानपुर मेट्रो कॉरिडोर-2 के डिपो में थर्ड रेल इंस्टॉलेशन शुरू," सीएसए यूनिवर्सिटी परिसर में बन रहे डिपो में जल्द आ सकती है पहली ट्रेन
0:26"
कानपुर,घाटमपुर में 8 वर्षीय बच्ची से दुष्कर्म," बिस्कुट का लालच देकर इंटर कॉलेज के पीछे ले गया पड़ोसी, पुलिस कर रही तलाश
0:31"
कानपुर,"डिप्टी सीएम के निर्देश पर दो डॉक्टर, तीन नर्स निलंबित", उरई मेडिकल कॉलेज में गलत मरीज को ऑपरेशन टेबल पर लिटाने के मामले में हुई कार्रवाई
कानपुर,कानपुर के पुलिस कमिश्नर व SHO कोर्ट में तलब, आदेश की अवहेलना करने पर इलाहाबाद हाई कोर्ट में 20 अगस्त को तलब होने के आदेश
कानपुर,ससुर की गैर इरादतन हत्या में बहू को 8साल कैद," घर न छोड़ने पर मिट्‌टी का तेल डाल जलाया, मौत से पहले बुजुर्ग के बयान रहे अहम
0:14"
कानपुर,नौकरी का झांसा देकर जालौन की महिला को ठगा," डीएम के जनता दर्शन में पहुंची पीड़िता, खाना खिलाने के बाद बस से वापस भेजा"
