Area,headline,summary
कोटा,कोटा के कॉलेज में हेलमेट लगाकर पहुंचे स्टूडेंट," जर्जर बिल्डिंग को दुरुस्त कराने की मांग, कहा- जांच होने तक छुट्टी घोषित हो
0:58"
कोटा,सेंट्रल बैंक के फर्स्ट फ्लोर में लगी आग," बैंककर्मी धुआं देखकर बाहर आए, कंप्यूटर सिस्टम पूरी तरह जला
0:27"
कोटा,कोटा में रिटायर्ड ASI को 3 साल की जेल," मारपीट के मामले में कार्रवाई नहीं करने के एवज में रिश्वत ली थी, 20 साल बाद फैसला आया
0:28"
कोटा,"पानी से भरे गड्ढे में नहाते समय युवक डूबा, मौत"," साइकिल, कपड़े और मोबाइल मिला, घर से काम का कहकर निकला था
0:54"
कोटा,कोटा में करंट से 4 भैंसों की मौत," देवनारायण योजना में डीपी के पास बारिश का पानी भरा था, करंट दौड़ा
0:40"
कोटा,ATM कार्ड बदलकर 33 हजार रुपए निकाले," ड्राइवर के पीछे खड़े होकर युवक ने देखा था पिन; मदद के बहाने फंसाया
1:32"
कोटा,कोटा से इंदरगढ़ लाखेरी रूट पर नहीं चली रोड़वेज बसें," लाखेरी में मेज नदी उफान पर, पुलिया पर पानी आया, कोटा लालसोट मेगा हाइवे पर ट्रैफिक प्रभावित
0:29"
कोटा,वेस्ट सेंट्रल रेलवे मजदूर संघ की 36 मांगे," नई दिल्ली मे त्रि-वार्षिक सम्मेलन आयोजित करेंगे, 18 जोनल रेलवे, प्रोडक्शन यूनिट के लोग हिस्सा लेंगे
0:54"
कोटा,कोटा में आज 4 घंटे तक बिजली कटौती," सुबह 10 से दोपहर 2 बजे तक रहेगा पावर कट, जानिए- कौनसे इलाकों में होगा शटडाउन
0:17"
कोटा,कोटा में घर के बाहर खड़ी साइकिल चोरी," 20 सेकेंड में 2 नाबालिग लेकर फरार; पुलिस दोनों की तलाश में जुटी
0:19"
रामगंज मंडी,रिटायर होते ही थाना अधिकारी ने थामा बीजेपी का दामन," रामगंजमंडी में मंत्री मदन दिलावर ने किया स्वागत, बोले- अब जनसेवा का संकल्प"
इटावा (कोटा),इटावा के रामोला विनायका मंदिर में चोरी," ताले तोड़कर सोने-चांदी के आभूषण सहित छत्र चुराया, 7-8 लाख रुपए का सामान ले गए
0:59"
इटावा (कोटा),कलक्टर-एसपी ने बाढ़ प्रभावित क्षेत्रों का लिया जायजा," खातोली में पार्वती नदी का उफान, एसडीआरएफ और एनडीआरएफ की टीम तैनात
1:09"
रटलाई,N/A,N/A
